date,open,close,high,low,volume,amount,amplitude_pct,pct_change,change,turnover_pct,source
2026-03-09,65.63,64.24,65.63,62.83,13065,83607935.97,4.22,-3.08,-2.04,3.63,eastmoney
2026-03-10,64.77,66.75,67.08,64.69,12977,86354947.03,3.72,3.91,2.51,3.60,eastmoney
2026-03-11,66.82,65.84,67.64,65.63,8367,55552397.50,3.01,-1.36,-0.91,2.32,eastmoney
2026-03-12,65.83,65.46,65.83,64.34,8735,57019188.24,2.26,-0.58,-0.38,2.43,eastmoney
2026-03-13,64.85,65.06,65.73,64.53,7897,51510926.48,1.83,-0.61,-0.40,2.19,eastmoney
2026-03-16,64.88,64.38,65.05,63.49,7628,49031661.51,2.40,-1.05,-0.68,2.12,eastmoney
2026-03-17,64.38,67.80,68.81,64.29,29042,195690153.74,7.02,5.31,3.42,8.07,eastmoney
2026-03-18,67.52,68.11,70.17,66.68,24732,169387997.45,5.15,0.46,0.31,6.87,eastmoney
2026-03-19,67.21,67.38,68.03,66.11,12019,80695811.62,2.82,-1.07,-0.73,3.34,eastmoney
2026-03-20,67.58,67.33,68.78,66.84,13052,88877295.92,2.88,-0.07,-0.05,3.62,eastmoney
2026-03-23,65.23,62.07,66.68,61.43,18109,115689266.65,7.80,-7.81,-5.26,5.03,eastmoney
2026-03-24,63.31,64.12,64.78,62.49,8877,56507544.48,3.69,3.30,2.05,2.47,eastmoney
2026-03-25,64.60,66.54,67.26,64.45,12510,83089459.72,4.38,3.77,2.42,3.47,eastmoney
2026-03-26,66.78,66.63,68.32,65.83,7062,47264801.59,3.74,0.14,0.09,1.96,eastmoney
2026-03-27,65.97,66.08,67.56,65.33,6901,46013008.21,3.35,-0.83,-0.55,1.92,eastmoney
2026-03-30,65.53,66.83,69.23,65.20,14873,100464071.95,6.10,1.13,0.75,4.13,eastmoney
2026-03-31,67.13,68.33,69.77,66.74,17537,119913962.97,4.53,2.24,1.50,4.87,eastmoney
2026-04-01,69.34,68.83,69.76,67.83,13671,94648053.53,2.82,0.73,0.50,3.80,eastmoney
2026-04-02,68.45,63.58,68.80,63.05,27728,180045939.01,8.35,-7.63,-5.25,7.70,eastmoney
